month,borough,day_type,trip_type,route_id,period,actual_number_of_buses,scheduled_number_of_buses,service_delivered,distance,time
1,Bronx,1,EXP,BXM1,Peak,486,532,0.913533835,8.276730575254565,48.417997429214644
1,Bronx,1,EXP,BXM10,Peak,491,494,0.993927126,7.64520931099212,108.81819579647005
1,Bronx,1,EXP,BXM11,Peak,454,456,0.995614035,16.7436723697922,89.6773698382387
1,Bronx,1,EXP,BXM18,Peak,187,201,0.930348259,14.516734557930725,17.752245885508078
1,Bronx,1,EXP,BXM2,Peak,283,283,1.0,9.614176201537507,28.263825723461323
1,Bronx,1,EXP,BXM3,Peak,326,321,1.015576324,10.263757919504844,53.933188343397504
1,Bronx,1,EXP,BXM4,Peak,168,171,0.98245614,7.6524353927121975,94.50547215514032
1,Bronx,1,EXP,BXM6,Peak,278,285,0.975438596,8.291680881376951,10.30080694605273
1,Bronx,1,EXP,BXM7,Peak,842,855,0.984795322,6.904868805399719,13.800212734469973
1,Bronx,1,EXP,BXM8,Peak,605,618,0.978964401,3.6080419017854517,119.9326024935844
1,Bronx,1,EXP,BXM9,Peak,636,650,0.978461538,11.773154278087736,26.244744463271687
1,Bronx,2,EXP,BXM1,Peak,67,70,0.957142857,8.276730575254565,48.417997429214644
1,Bronx,2,EXP,BXM10,Peak,75,76,0.986842105,7.64520931099212,108.81819579647005
1,Bronx,2,EXP,BXM11,Peak,71,75,0.946666667,16.7436723697922,89.6773698382387
1,Bronx,2,EXP,BXM18,Peak,11,10,1.1,14.516734557930725,17.752245885508078
1,Bronx,2,EXP,BXM2,Peak,64,72,0.888888889,9.614176201537507,28.263825723461323
1,Bronx,2,EXP,BXM3,Peak,43,42,1.023809524,10.263757919504844,53.933188343397504
1,Bronx,2,EXP,BXM4,Peak,40,39,1.025641026,7.6524353927121975,94.50547215514032
1,Bronx,2,EXP,BXM6,Peak,45,45,1.0,8.291680881376951,10.30080694605273
1,Bronx,2,EXP,BXM7,Peak,120,124,0.967741935,6.904868805399719,13.800212734469973
1,Bronx,2,EXP,BXM8,Peak,70,72,0.972222222,3.6080419017854517,119.9326024935844
1,Bronx,2,EXP,BXM9,Peak,82,83,0.987951807,11.773154278087736,26.244744463271687
1,Bronx,1,LCL/LTD,BX1,Peak,814,843,0.965599051,19.52661586441056,84.97863638566147
1,Bronx,1,LCL/LTD,BX10,Peak,698,759,0.919631094,11.274145765290816,75.20356628788262
1,Bronx,1,LCL/LTD,BX11,Peak,990,1041,0.951008646,11.535022928856966,89.76424543737218
1,Bronx,1,LCL/LTD,BX12,Peak,636,689,0.923076923,12.315350023245841,75.38663764662341
1,Bronx,1,LCL/LTD,BX13,Peak,1110,1178,0.942275042,16.109787400420007,70.86070282849755
1,Bronx,1,LCL/LTD,BX15,Peak,1276,1469,0.868618108,19.275413998903716,80.66161041243525
1,Bronx,1,LCL/LTD,BX16,Peak,615,648,0.949074074,8.059339726288435,37.31110656643013
1,Bronx,1,LCL/LTD,BX17,Peak,731,761,0.960578187,13.65063271950582,76.31963711888731
1,Bronx,1,LCL/LTD,BX18,Peak,343,360,0.952777778,14.445054026580287,29.398970065910408
1,Bronx,1,LCL/LTD,BX19,Peak,793,819,0.968253968,13.354103350157018,28.567210046909285
1,Bronx,1,LCL/LTD,BX2,Peak,682,700,0.974285714,15.933544077008692,24.692224156982697
1,Bronx,1,LCL/LTD,BX20,Peak,257,270,0.951851852,19.182973476798896,42.37596316071571
1,Bronx,1,LCL/LTD,BX21,Peak,768,817,0.94002448,5.9042935879391445,108.7945267558473
1,Bronx,1,LCL/LTD,BX22,Peak,771,818,0.942542787,15.362666181117529,34.58752632150057
1,Bronx,1,LCL/LTD,BX23,Peak,777,814,0.954545455,9.72140051642481,96.1129304306319
1,Bronx,1,LCL/LTD,BX24,Peak,178,186,0.956989247,16.445686018424787,52.90305450574998
1,Bronx,1,LCL/LTD,BX26,Peak,667,698,0.955587393,9.356091998163482,100.9068260366149
1,Bronx,1,LCL/LTD,BX27,Peak,930,965,0.96373057,14.163604488311716,91.40003349253637
1,Bronx,1,LCL/LTD,BX28,Peak,485,490,0.989795918,18.936343950866124,109.15162395683137
1,Bronx,1,LCL/LTD,BX29,Peak,342,353,0.968838527,9.838042800607116,50.827896109086105
1,Bronx,1,LCL/LTD,BX3,Peak,830,893,0.929451288,7.903661035602164,116.90917754271968
1,Bronx,1,LCL/LTD,BX30,Peak,750,797,0.941028858,16.65592382206147,50.8927814657603
1,Bronx,1,LCL/LTD,BX31,Peak,647,648,0.99845679,9.657284455907458,69.30943247009284
1,Bronx,1,LCL/LTD,BX32,Peak,443,458,0.967248908,11.237227303591075,35.054929939865744
1,Bronx,1,LCL/LTD,BX33,Peak,322,335,0.96119403,10.707163561830637,48.8159433888384
1,Bronx,1,LCL/LTD,BX34,Peak,400,408,0.980392157,15.604812469857224,46.09178135407068
1,Bronx,1,LCL/LTD,BX35,Peak,1000,1017,0.983284169,17.861058781887035,17.609860104938505
1,Bronx,1,LCL/LTD,BX36,Peak,1412,1467,0.962508521,14.227863340739104,80.99136876424572
1,Bronx,1,LCL/LTD,BX38,Peak,443,472,0.938559322,17.48188183118473,13.063037200176897
1,Bronx,1,LCL/LTD,BX39,Peak,707,734,0.963215259,13.169285376377331,45.23151206317024
1,Bronx,1,LCL/LTD,BX4,Peak,363,371,0.978436658,8.667639477969544,100.07710662368103
1,Bronx,1,LCL/LTD,BX40,Peak,395,409,0.965770171,14.960646671945067,69.72669499214433
1,Bronx,1,LCL/LTD,BX41,Peak,469,483,0.971014493,13.455088693043177,109.54547877115874
1,Bronx,1,LCL/LTD,BX42,Peak,396,427,0.927400468,14.451431668646663,12.075721380719372
1,Bronx,1,LCL/LTD,BX46,Peak,178,182,0.978021978,19.19242060197527,84.73911079250786
1,Bronx,1,LCL/LTD,BX4A,Peak,354,371,0.954177898,4.835128781524841,72.79356952777948
1,Bronx,1,LCL/LTD,BX5,Peak,643,691,0.930535456,4.0682818335242,28.155478278265512
1,Bronx,1,LCL/LTD,BX6,Peak,1143,1204,0.949335548,9.023838234243083,20.720859038560864
1,Bronx,1,LCL/LTD,BX7,Peak,704,725,0.971034483,17.380625919652168,47.12518330201716
1,Bronx,1,LCL/LTD,BX8,Peak,525,541,0.970425139,7.299395813699434,95.505207997226
1,Bronx,1,LCL/LTD,BX9,Peak,996,1079,0.923076923,14.168937136565303,19.382714860152205
1,Bronx,2,LCL/LTD,BX1,Peak,162,179,0.905027933,19.52661586441056,84.97863638566147
1,Bronx,2,LCL/LTD,BX10,Peak,171,191,0.895287958,11.274145765290816,75.20356628788262
1,Bronx,2,LCL/LTD,BX11,Peak,232,240,0.966666667,11.535022928856966,89.76424543737218
1,Bronx,2,LCL/LTD,BX12,Peak,204,228,0.894736842,12.315350023245841,75.38663764662341
1,Bronx,2,LCL/LTD,BX13,Peak,271,285,0.950877193,16.109787400420007,70.86070282849755
